File path                                          | mode  | owner      | group     
/etc/datadog-agent/conf.d/snmp.d/profiles/_base.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/palo-alto.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/disk.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-csr1000v.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/dell-poweredge.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/meraki-cloud-controller.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/var                                               | drwxr-xr-x | root       | root      
/etc                                               | drwxr-xr-x | root       | root      
/etc/datadog-agent/conf.d/network.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_intel-lan-adapters.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/solr.d/metrics.yaml      | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/tomcat.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/var/log/datadog/process-agent.log.1               | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/cilium.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/load.d/conf.yaml.default | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-cos.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-virtualchassis.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/juniper-srx.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/io.d/conf.yaml.default   | -rw-r--r-- | dd-agent   | dd-agent  
