,src_metric,scope,host,time,raw_value
0,system.cpu.idle,*,*,1616596200000,96.25773687936253
1,system.cpu.idle,*,*,1616596800000,95.95836186636565
2,system.cpu.idle,*,*,1616597400000,95.951644057965
3,system.cpu.idle,*,*,1616598000000,96.03679882880922
4,system.cpu.idle,*,*,1616598600000,95.52832756604066
5,system.cpu.idle,*,*,1616599200000,95.50182608622711
6,system.cpu.idle,*,*,1616599800000,95.97091925866069
7,system.cpu.idle,*,*,1616600400000,95.21059897391974
8,system.cpu.idle,*,*,1616601000000,96.82647526085765
9,system.cpu.idle,*,*,1616601600000,95.8838674933404
10,system.cpu.idle,*,*,1616602200000,96.65651671069696
11,system.cpu.idle,*,*,1616602800000,97.12724976298956
12,system.cpu.idle,*,*,1616603400000,95.30576417963265
13,system.cpu.idle,*,*,1616604000000,95.95572487696721
14,system.cpu.idle,*,*,1616604600000,96.69392173135684
15,system.cpu.idle,*,*,1616605200000,96.955128387969
16,system.cpu.idle,*,*,1616605800000,97.86590624005403
17,system.cpu.idle,*,*,1616606400000,97.65240249090836
18,system.cpu.idle,*,*,1616607000000,97.7976981799879
19,system.cpu.idle,*,*,1616607600000,96.26027026402332
20,system.cpu.idle,*,*,1616608200000,92.41796522584578
21,system.cpu.idle,*,*,1616608800000,96.07988942866085
22,system.cpu.idle,*,*,1616609400000,92.99300540363011
23,system.cpu.idle,*,*,1616610000000,91.28697271107062
24,system.cpu.idle,*,*,1616610600000,96.06924017072389
25,system.cpu.idle,*,*,1616611200000,92.20732880682004
26,system.cpu.idle,*,*,1616611800000,89.14708302221577
27,system.cpu.idle,*,*,1616612400000,88.50472684453047
28,system.cpu.idle,*,*,1616613000000,91.16856881799319
29,system.cpu.idle,*,*,1616613600000,90.43293056988362
30,system.cpu.idle,*,*,1616614200000,90.28126909512567
31,system.cpu.idle,*,*,1616614800000,90.34334982663043
32,system.cpu.idle,*,*,1616615400000,84.90054779640467
33,system.cpu.idle,*,*,1616616000000,83.82586788625319
34,system.cpu.idle,*,*,1616616600000,82.424859837012
35,system.cpu.idle,*,*,1616617200000,87.64493551316369
36,system.cpu.idle,*,*,1616617800000,86.37935118258409
37,system.cpu.idle,*,*,1616618400000,85.61138082849942
38,system.cpu.idle,*,*,1616619000000,86.71460322380089
39,system.cpu.idle,*,*,1616619600000,86.96873775875173
40,system.cpu.idle,*,*,1616620200000,89.07381777563405
41,system.cpu.idle,*,*,1616620800000,91.50784271832407
42,system.cpu.idle,*,*,1616621400000,95.70857168728865
43,system.cpu.idle,*,*,1616622000000,90.68411697708908
44,system.cpu.idle,*,*,1616622600000,94.78929686123571
45,system.cpu.idle,*,*,1616623200000,90.97366281277733
46,system.cpu.idle,*,*,1616623800000,95.32411685002411
47,system.cpu.idle,*,*,1616624400000,93.54625442760931
48,system.cpu.idle,*,*,1616625000000,93.83179194670973
49,system.cpu.idle,*,*,1616625600000,94.27494273810292
50,system.cpu.idle,*,*,1616626200000,93.88522703358385
51,system.cpu.idle,*,*,1616626800000,93.98323467449859
52,system.cpu.idle,*,*,1616627400000,93.51951188492806
53,system.cpu.idle,*,*,1616628000000,94.25237371034491
54,system.cpu.idle,*,*,1616628600000,93.7038512577818
55,system.cpu.idle,*,*,1616629200000,94.41775982107677
56,system.cpu.idle,*,*,1616629800000,95.6237723871637
57,system.cpu.idle,*,*,1616630400000,96.40493655631516
58,system.cpu.idle,*,*,1616631000000,96.65643734573999
59,system.cpu.idle,*,*,1616631600000,96.76910034831532
60,system.cpu.idle,*,*,1616632200000,97.12918384018258
61,system.cpu.idle,*,*,1616632800000,96.62037581505227
62,system.cpu.idle,*,*,1616633400000,96.80067271980685
63,system.cpu.idle,*,*,1616634000000,97.11292955288633
64,system.cpu.idle,*,*,1616634600000,97.60472826150308
65,system.cpu.idle,*,*,1616635200000,97.85871068656219
66,system.cpu.idle,*,*,1616635800000,97.60433877167225
67,system.cpu.idle,*,*,1616636400000,97.76388773794214
68,system.cpu.idle,*,*,1616637000000,97.85854031220785
69,system.cpu.idle,*,*,1616637600000,97.72100250097425
70,system.cpu.idle,*,*,1616638200000,97.87935256264397
71,system.cpu.idle,*,*,1616638800000,98.91179058152716
72,system.cpu.idle,*,*,1616639400000,99.41500432695314
73,system.cpu.idle,*,*,1616640000000,99.26749767280066
74,system.cpu.idle,*,*,1616640600000,99.44246486675414
75,system.cpu.idle,*,*,1616641200000,99.39611500429052
76,system.cpu.idle,*,*,1616641800000,99.3925249981666
77,system.cpu.idle,*,*,1616642400000,99.44820105012536
78,system.cpu.idle,*,*,1616643000000,99.46754497590968
79,system.cpu.idle,*,*,1616643600000,99.4948081780799
80,system.cpu.idle,*,*,1616644200000,99.48213876199321
81,system.cpu.idle,*,*,1616644800000,94.37164116579712
82,system.cpu.idle,*,*,1616645400000,93.99996057785845
83,system.cpu.idle,*,*,1616646000000,95.77963906599425
84,system.cpu.idle,*,*,1616646600000,96.36075185166692
85,system.cpu.idle,*,*,1616647200000,96.9159782190305
86,system.cpu.idle,*,*,1616647800000,96.65939594031786
87,system.cpu.idle,*,*,1616648400000,97.09749425156775
88,system.cpu.idle,*,*,1616649000000,97.51041037812223
89,system.cpu.idle,*,*,1616649600000,97.89677891758005
90,system.cpu.idle,*,*,1616650200000,97.82911090262893
91,system.cpu.idle,*,*,1616650800000,98.08388639136486
92,system.cpu.idle,*,*,1616651400000,98.19033453013074
93,system.cpu.idle,*,*,1616652000000,98.09311896470425
94,system.cpu.idle,*,*,1616652600000,98.25595006229187
95,system.cpu.idle,*,*,1616653200000,96.017116438265
96,system.cpu.idle,*,*,1616653800000,97.77408277672296
97,system.cpu.idle,*,*,1616654400000,99.7347218595709
98,system.cpu.idle,*,*,1616655000000,99.77673604006812
99,system.cpu.idle,*,*,1616655600000,99.76786776077873
100,system.cpu.idle,*,*,1616656200000,99.75260036505763
101,system.cpu.idle,*,*,1616656800000,99.70422951430595
102,system.cpu.idle,*,*,1616657400000,99.75017556106447
103,system.cpu.idle,*,*,1616658000000,99.77974356740664
104,system.cpu.idle,*,*,1616658600000,99.77416787713823
105,system.cpu.idle,*,*,1616659200000,99.76953378482446
106,system.cpu.idle,*,*,1616659800000,99.8379097973685
107,system.cpu.idle,*,*,1616660400000,99.84903641111471
